name;pin;x;y;orientation;unit;type;ce;visibility;mode;width
~CE0_0;K7;-900;-200;R;1;I;1;;;
~CE0_1;K6;-900;-200;R;2;I;2;;;
~CE1_0;K5;-900;-300;R;1;I;4;;;
~CE1_1;J5;-900;-300;R;2;I;4;;;
~CLK_0;P7;-900;500;R;1;I;1;;DDR;
~CLK_1;N7;-900;500;R;2;I;1;;DDR;
~DQS_0;P4;-900;-700;R;1;B;1;;DDR;
~DQS_1;N4;-900;-700;R;2;B;1;;DDR;
~RE_0;P6;-900;700;R;1;I;1;;DDR2,DDR3;
~RE_1;N6;-900;700;R;2;I;1;;DDR2,DDR3;
~WE_0;P7;-900;500;R;1;I;1;;SDR,DDR2,DDR3;
~WE_1;N7;-900;500;R;2;I;1;;SDR,DDR2,DDR3;
~WP_0;E5;-900;400;R;1;I;1;;;
~WP_1;D5;-900;400;R;2;I;1;;;
ALE_0;K4;-900;200;R;1;I;1;;;
ALE_1;J4;-900;200;R;2;I;1;;;
CLE_0;M5;-900;100;R;1;I;1;;;
CLE_1;L5;-900;100;R;2;I;1;;;
DQ0_0;K2;900;700;L;1;B;1;;DDR,DDR2,DDR3;
DQ0_1;J2;900;700;L;2;B;1;;DDR,DDR2,DDR3;
DQ1_0;N2;900;600;L;1;B;1;;DDR,DDR2,DDR3;
DQ1_1;M2;900;600;L;2;B;1;;DDR,DDR2,DDR3;
DQ2_0;K3;900;500;L;1;B;1;;DDR,DDR2,DDR3;
DQ2_1;J3;900;500;L;2;B;1;;DDR,DDR2,DDR3;
DQ3_0;N3;900;400;L;1;B;1;;DDR,DDR2,DDR3;
DQ3_1;M3;900;400;L;2;B;1;;DDR,DDR2,DDR3;
DQ4_0;N8;900;300;L;1;B;1;;DDR,DDR2,DDR3;
DQ4_1;M8;900;300;L;2;B;1;;DDR,DDR2,DDR3;
DQ5_0;K8;900;200;L;1;B;1;;DDR,DDR2,DDR3;
DQ5_1;J8;900;200;L;2;B;1;;DDR,DDR2,DDR3;
DQ6_0;N9;900;100;L;1;B;1;;DDR,DDR2,DDR3;
DQ6_1;M9;900;100;L;2;B;1;;DDR,DDR2,DDR3;
DQ7_0;K9;900;0;L;1;B;1;;DDR,DDR2,DDR3;
DQ7_1;J9;900;0;L;2;B;1;;DDR,DDR2,DDR3;
DQS_0;P5;-900;-800;R;1;B;1;;;
DQS_1;N5;-900;-800;R;2;B;1;;;
IO0_0;K2;900;700;L;1;B;1;;SDR;
IO0_1;J2;900;700;L;2;B;1;;SDR;
IO1_0;N2;900;600;L;1;B;1;;SDR;
IO1_1;M2;900;600;L;2;B;1;;SDR;
IO2_0;K3;900;500;L;1;B;1;;SDR;
IO2_1;J3;900;500;L;2;B;1;;SDR;
IO3_0;N3;900;400;L;1;B;1;;SDR;
IO3_1;M3;900;400;L;2;B;1;;SDR;
IO4_0;N8;900;300;L;1;B;1;;SDR;
IO4_1;M8;900;300;L;2;B;1;;SDR;
IO5_0;K8;900;200;L;1;B;1;;SDR;
IO5_1;J8;900;200;L;2;B;1;;SDR;
IO6_0;N9;900;100;L;1;B;1;;SDR;
IO6_1;M9;900;100;L;2;B;1;;SDR;
IO7_0;K9;900;0;L;1;B;1;;SDR;
IO7_1;J9;900;0;L;2;B;1;;SDR;
R/~B0_0;J6;900;-200;L;1;O;1;;;
R/~B0_1;H6;900;-200;L;2;O;2;;;
R/~B1_0;J7;900;-300;L;1;O;4;;;
R/~B1_1;H7;900;-300;L;2;O;4;;;
RE_0;M6;-900;600;R;1;I;1;;SDR,DDR2,DDR3;
RE_1;L6;-900;600;R;2;I;1;;SDR,DDR2,DDR3;
VCC;F2;200;1200;D;0;W;1;;;
VCC;F3;300;1200;D;0;W;1;;;
VCC;F4;400;1200;D;0;W;1;;;
VCC;F5;500;1200;D;0;W;1;;;
VCC;F6;200;1200;D;0;P;1;N;;
VCC;F7;300;1200;D;0;P;1;N;;
VCC;F8;400;1200;D;0;P;1;N;;
VCC;F9;500;1200;D;0;P;1;N;;
VCCQ;H3;-200;1200;D;0;W;1;;;
VCCQ;H8;-500;1200;D;0;W;1;;;
VCCQ;L2;-400;1200;D;0;W;1;;;
VCCQ;L4;-300;1200;D;0;W;1;;;
VCCQ;L7;-400;1200;D;0;P;1;N;;
VCCQ;L9;-300;1200;D;0;P;1;N;;
VCCQ;P3;-200;1200;D;0;P;1;N;;
VCCQ;P8;-500;1200;D;0;P;1;N;;
VDDI;E9;-100;1000;D;0;N;1;N;;
VREFQ_0;H5;0;1200;D;1;W;1;;DDR2,DDR3;
VREFQ_1;H4;0;1200;D;2;W;1;;DDR2,DDR3;
VSS;G2;200;-1200;U;0;W;1;;;
VSS;G3;200;-1200;U;0;P;1;N;;
VSS;G4;200;-1200;U;0;P;1;N;;
VSS;G5;200;-1200;U;0;P;1;N;;
VSS;G6;200;-1200;U;0;P;1;N;;
VSS;G7;200;-1200;U;0;P;1;N;;
VSS;G8;200;-1200;U;0;P;1;N;;
VSS;G9;200;-1200;U;0;P;1;N;;
VSSQ;H2;-200;-1200;U;0;W;1;;;
VSSQ;H9;-200;-1200;U;0;P;1;N;;
VSSQ;L3;-200;-1200;U;0;P;1;N;;
VSSQ;L8;-200;-1200;U;0;P;1;N;;
VSSQ;M4;-200;-1200;U;0;P;1;N;;
VSSQ;M7;-200;-1200;U;0;P;1;N;;
VSSQ;P2;-200;-1200;U;0;P;1;N;;
VSSQ;P9;-200;-1200;U;0;P;1;N;;
W/~R0_0;M6;-900;600;R;1;I;1;;DDR;
W/~R1_0;L6;-900;600;R;2;I;1;;DDR;
VSP0;E7;100;1000;D;1;N;1;N;;
VSP1;E6;100;1000;D;1;N;1;N;;
VSP2;E4;100;1000;D;1;N;1;N;;
VSP0;D7;100;1000;D;1;N;2;N;;
VSP1;D6;100;1000;D;1;N;2;N;;
VSP2;D4;100;1000;D;1;N;2;N;;
